Johann Pamsel 1846: 7 male descendant(s)
Sebastian Hohlbichler 1852: 6 male descendant(s)
Benjamin Furtweger 1898: 5 male descendant(s)
Herbert Finkenstein 1822: 5 male descendant(s)
Johann Pamsel 1875: 5 male descendant(s)
Heinrich Furtweger 1921: 4 male descendant(s)
Arndt Hohlbichler 1873: 4 male descendant(s)
Ludwig Pamsel 1899: 4 male descendant(s)
Leopold Ranseier 1903: 4 male descendant(s)
Heribert Pamsel 1924: 3 male descendant(s)
Odo Pröbstl 1855: 3 male descendant(s)
Hans Finkenstein 1855: 3 male descendant(s)
Bertram Hohlbichler 1905: 3 male descendant(s)
Albert Krakauer 1822: 3 male descendant(s)
Wolfgang Ranseier 1928: 2 male descendant(s)
Herbert Finkenstein 1873: 2 male descendant(s)
Karl Pröbstl 1877: 2 male descendant(s)
Konstantin Muhrauer 1873: 2 male descendant(s)
Johann Pamsel 1943: 2 male descendant(s)
Ludwig Krakauer 1845: 1 male descendant(s)
Ignaz Neumayr 1885: 1 male descendant(s)
Adalbert Dworsky 1842: 1 male descendant(s)
Miloslav Jurcic 1911: 1 male descendant(s)
Enrico Beldetti 1948: 1 male descendant(s)
Sebastian Furtweger 1942: 1 male descendant(s)
Antonius Pamsel 1961: 1 male descendant(s)
Bertram Hohlbichler 1931: 1 male descendant(s)
Herbert Finkenstein 1852: 0 male descendant(s)
Heribert Madlinger 1931: 0 male descendant(s)
Johann Pamsel 1982: 0 male descendant(s)
Jonathan Hohlbichler 1874: 0 male descendant(s)
Jörg Muhrauer 1897: 0 male descendant(s)
Karl Ranseier 1925: 0 male descendant(s)
Kevin Distler 1955: 0 male descendant(s)
Knut Martens 1869: 0 male descendant(s)
Adalbert Dworsky 1869: 0 male descendant(s)
Albert Festerer 1939: 0 male descendant(s)
Alexander Wallner 1922: 0 male descendant(s)
Archibald Furtweger 1967: 0 male descendant(s)
Bendetto Beldetti 1973: 0 male descendant(s)
Daniel Finkenstein 1891: 0 male descendant(s)
Franz Furtweger 1972: 0 male descendant(s)
Franz Krakauer 1848: 0 male descendant(s)
Franz Pamsel 1877: 0 male descendant(s)
Fridolin Muhrauer 1905: 0 male descendant(s)
Günther Finkenstein 1892: 0 male descendant(s)
Mark Distler 1952: 0 male descendant(s)
Nikolaus Furtweger 1951: 0 male descendant(s)
Otto Neumayr 1889: 0 male descendant(s)
Philip Hohlbichler 1952: 0 male descendant(s)
Aaron Pröbstl 1902: 0 male descendant(s)
Stanislav Jurcic 1933: 0 male descendant(s)
Leonid Pröbstl 1899: 0 male descendant(s)
Ludwig Krakauer 1884: 0 male descendant(s)
