Johann Pamsel 1846: 7 male descendent(s)
Sebastian Hohlbichler 1852: 6 male descendent(s)
Herbert Finkenstein 1822: 5 male descendent(s)
Johann Pamsel 1875: 5 male descendent(s)
Benjamin Furtweger 1898: 5 male descendent(s)
Ludwig Pamsel 1899: 4 male descendent(s)
Leopold Ranseier 1903: 4 male descendent(s)
Heinrich Furtweger 1921: 4 male descendent(s)
Arndt Hohlbichler 1873: 4 male descendent(s)
Bertram Hohlbichler 1905: 3 male descendent(s)
Odo Pröbstl 1855: 3 male descendent(s)
Albert Krakauer 1822: 3 male descendent(s)
Heribert Pamsel 1924: 3 male descendent(s)
Hans Finkenstein 1855: 3 male descendent(s)
Konstantin Muhrauer 1873: 2 male descendent(s)
Karl Pröbstl 1877: 2 male descendent(s)
Johann Pamsel 1943: 2 male descendent(s)
Wolfgang Ranseier 1928: 2 male descendent(s)
Herbert Finkenstein 1873: 2 male descendent(s)
Miloslav Jurcic 1911: 1 male descendent(s)
Ludwig Krakauer 1845: 1 male descendent(s)
Antonius Pamsel 1961: 1 male descendent(s)
Bertram Hohlbichler 1931: 1 male descendent(s)
Sebastian Furtweger 1942: 1 male descendent(s)
Enrico Beldetti 1948: 1 male descendent(s)
Ignaz Neumayr 1885: 1 male descendent(s)
Adalbert Dworsky 1842: 1 male descendent(s)
Aaron Pröbstl 1902: 0 male descendent(s)
Franz Pamsel 1877: 0 male descendent(s)
Fridolin Muhrauer 1905: 0 male descendent(s)
Günther Finkenstein 1892: 0 male descendent(s)
Franz Furtweger 1972: 0 male descendent(s)
Herbert Finkenstein 1852: 0 male descendent(s)
Heribert Madlinger 1931: 0 male descendent(s)
Johann Pamsel 1982: 0 male descendent(s)
Jonathan Hohlbichler 1874: 0 male descendent(s)
Jörg Muhrauer 1897: 0 male descendent(s)
Daniel Finkenstein 1891: 0 male descendent(s)
Karl Ranseier 1925: 0 male descendent(s)
Kevin Distler 1955: 0 male descendent(s)
Knut Martens 1869: 0 male descendent(s)
Leonid Pröbstl 1899: 0 male descendent(s)
Ludwig Krakauer 1884: 0 male descendent(s)
Bendetto Beldetti 1973: 0 male descendent(s)
Mark Distler 1952: 0 male descendent(s)
Nikolaus Furtweger 1951: 0 male descendent(s)
Archibald Furtweger 1967: 0 male descendent(s)
Otto Neumayr 1889: 0 male descendent(s)
Philip Hohlbichler 1952: 0 male descendent(s)
Alexander Wallner 1922: 0 male descendent(s)
Albert Festerer 1939: 0 male descendent(s)
Stanislav Jurcic 1933: 0 male descendent(s)
Adalbert Dworsky 1869: 0 male descendent(s)
Franz Krakauer 1848: 0 male descendent(s)
